STDR_YYQU_CD,SUD_CD,RENT_FLOOR_CD,GTN_AVRG,MT_RNTCHRG_AVRG,CNVRSN_RNTCHRG,RENT_CO
20191,1123000282,00,1101933,110193,121213,1
20191,1123000282,02,1101933,110193,121213,1
20191,1123000284,00,3443542,0,34435,1
20191,1123000284,01,3443542,0,34435,1
20191,1123000285,00,637816,44647,51025,1
20191,1123000285,01,637816,44647,51025,1
20191,1123000297,00,185199,11112,12964,1
20191,1123000297,02,185199,11112,12964,1
20191,1123000311,00,1110820,111082,122190,1
20191,1123000311,01,1110820,111082,122190,1
20191,1123000313,00,1157501,76067,87642,4
20191,1123000313,01,1218863,66009,78198,3
20191,1123000313,02,1096139,86125,97087,1
20191,1123000318,00,1180643,53129,64935,1
20191,1123000318,01,1180643,53129,64935,1
20191,1123000322,00,1157030,79890,91460,2
20191,1123000322,01,1157030,79890,91460,2
20191,1123000325,00,1172893,29322,41051,1
20191,1123000325,01,1172893,29322,41051,1
20191,1123000330,00,1001758,80141,90158,1
20191,1123000330,02,1001758,80141,90158,1
20191,1123000333,00,5595148,32638,88590,1
20191,1123000333,02,5595148,32638,88590,1
20191,1123000339,00,500879,50088,55097,1
20191,1123000339,01,500879,50088,55097,1
20191,1123000344,00,593714,35623,41560,1
20191,1123000344,02,593714,35623,41560,1
20191,1123000354,00,1378345,67555,81339,3
20191,1123000354,01,2176318,96419,118182,2
20191,1123000354,02,580372,38691,44495,1
20191,1123000355,00,826450,41323,49587,1
20191,1123000355,01,826450,41323,49587,1
20191,1123000360,00,826450,62302,70566,2
20191,1123000360,01,826450,62302,70566,2
20191,1123000369,00,1033550,59336,69671,3
20191,1123000369,01,1497135,87324,102295,2
20191,1123000369,02,569966,31348,37048,1
20191,1123000371,00,2325844,116292,139551,1
20191,1123000371,01,2325844,116292,139551,1
20191,1123000375,00,6678384,27827,94610,1
20191,1123000375,02,6678384,27827,94610,1
20191,1123000380,00,1206777,127523,139591,4
20191,1123000380,01,1936731,213708,233076,2
20191,1123000380,02,476824,41337,46106,2
20191,1123000381,00,1385519,91679,105534,2
20191,1123000381,01,1385519,91679,105534,2
20191,1123000396,00,478223,33803,38585,2
20191,1123000396,02,478223,33803,38585,2
20191,1123000400,00,2059688,72089,92686,1
20191,1123000400,01,2059688,72089,92686,1
20191,1123000427,00,1001758,88155,98172,1
20191,1123000427,01,1001758,88155,98172,1
20191,1123000432,00,0,40954,40954,1
20191,1123000432,01,0,40954,40954,1
20191,1123000434,00,310068,31484,34584,2
20191,1123000434,02,310068,31484,34584,2
20191,1123000436,00,1270597,176647,189353,2
20191,1123000436,02,1270597,176647,189353,2
20191,1123000447,00,684305,54078,60921,2
20191,1123000447,01,1101933,88155,99174,1
20191,1123000447,02,266677,20001,22668,1
20191,1123000453,00,1001758,40070,50088,1
20191,1123000453,01,1001758,40070,50088,1
20191,1123000457,00,350615,40070,43576,1
20191,1123000457,02,350615,40070,43576,1
20191,1123000459,00,152693,16796,18323,1
20191,1123000459,02,152693,16796,18323,1
20191,1123000460,00,1244029,63238,75678,1
20191,1123000460,01,1244029,63238,75678,1
20191,1123000468,00,399565,99345,103340,3
20191,1123000468,01,273207,49177,51909,1
20191,1123000468,02,525923,149512,154772,2
20191,1123000473,00,500879,40070,45079,1
20191,1123000473,02,500879,40070,45079,1
20191,1123000475,00,2492436,96560,121485,3
20191,1123000475,01,4467297,148910,193583,1
20191,1123000475,02,517575,44211,49387,2
20191,1123000488,00,4407733,440773,484851,1
20191,1123000488,01,4407733,440773,484851,1
20191,1123000492,00,632084,40074,46395,1
20191,1123000492,02,632084,40074,46395,1
20191,1123000495,00,3503144,175157,210189,1
20191,1123000495,01,3503144,175157,210189,1
20191,1123000500,00,411169,113072,117183,1
20191,1123000500,01,411169,113072,117183,1
20191,1123000501,00,1101933,121213,132232,1
20191,1123000501,01,1101933,121213,132232,1
20191,1123000503,00,447758,38059,42537,1
20191,1123000503,02,447758,38059,42537,1
20191,1123000511,00,4132250,144629,185951,1
20191,1123000511,01,4132250,144629,185951,1
20191,1123000525,00,1322320,105786,119009,1
20191,1123000525,01,1322320,105786,119009,1
20191,1123000528,00,272856,20976,23705,2
20191,1123000528,02,272856,20976,23705,2
20191,1123000530,00,472257,31484,36206,1
20191,1123000530,01,472257,31484,36206,1
20191,1123000532,00,881547,92562,101378,1
20191,1123000532,01,881547,92562,101378,1
20191,1123000534,00,1652900,148761,165290,1
20191,1123000534,01,1652900,148761,165290,1
20191,1123000543,00,286503,221328,224193,5
20191,1123000543,02,286503,221328,224193,5
20191,1123000548,00,250439,20035,22540,1
20191,1123000548,02,250439,20035,22540,1
20191,1123000551,00,651142,78137,84649,2
20191,1123000551,01,1001758,120211,130228,1
20191,1123000551,02,300527,36063,39069,1
20191,1123000556,00,503758,75606,80643,2
20191,1123000556,01,487941,121985,126865,1
20191,1123000556,02,519576,29226,34422,1
20191,1123000558,00,393173,43249,47181,1
20191,1123000558,01,393173,43249,47181,1
20191,1123000562,00,528928,98702,103991,2
20191,1123000562,01,528928,98702,103991,2
20191,1123000565,00,918278,91828,101011,2
20191,1123000565,01,918278,91828,101011,2
20191,1123000566,00,267135,26714,29385,1
20191,1123000566,01,267135,26714,29385,1
20191,1123000567,00,744214,29769,37211,1
20191,1123000567,02,744214,29769,37211,1
20191,1123000570,00,200352,40070,42074,1
20191,1123000570,02,200352,40070,42074,1
20191,1123000576,00,834798,73462,81810,1
20191,1123000576,01,834798,73462,81810,1
20191,1123000577,00,2488457,113950,138834,2
20191,1123000577,01,2488457,113950,138834,2
20191,1123000581,00,488422,35726,40610,5
20191,1123000581,01,836531,58823,67189,4
20191,1123000581,02,140314,12628,14031,1
20191,1123000583,00,1489987,100632,115532,5
20191,1123000583,01,2260376,135623,158226,2
20191,1123000583,02,719598,65641,72837,3
20191,1123000585,00,280955,37980,40790,2
20191,1123000585,01,291209,40769,43681,1
20191,1123000585,02,270701,35191,37898,1
20191,1123000589,00,431212,87473,91785,3
20191,1123000589,02,431212,87473,91785,3
20191,1123000592,00,2754833,165290,192838,1
20191,1123000592,02,2754833,165290,192838,1
20191,1123000593,00,1101933,55097,66116,1
20191,1123000593,02,1101933,55097,66116,1
20191,1123000596,00,258064,30968,33548,1
20191,1123000596,01,258064,30968,33548,1
20191,1123000599,00,363066,49126,52756,2
20191,1123000599,01,363066,49126,52756,2
20191,1123000603,00,355893,49363,52922,2
20191,1123000603,01,550967,82645,88155,1
20191,1123000603,02,160819,16082,17690,1
20191,1123000604,00,1306063,71325,84386,3
20191,1123000604,01,2168156,107132,128814,2
20191,1123000604,02,443970,35518,39957,1
20191,1123000608,00,1232803,105173,117501,2
20191,1123000608,02,1232803,105173,117501,2
20191,1123000611,00,1382840,94728,108557,2
20191,1123000611,01,2504394,150264,175308,1
20191,1123000611,02,261287,39193,41806,1
20191,1123000614,00,400703,20035,24042,1
20191,1123000614,02,400703,20035,24042,1
20191,1123000624,00,1101933,121213,132232,1
20191,1123000624,02,1101933,121213,132232,1
20191,1123000626,00,741652,79032,86449,3
20191,1123000626,01,741652,79032,86449,3
20191,1123000628,00,1195155,0,11952,1
20191,1123000628,02,1195155,0,11952,1
20191,1123000632,00,1652900,111571,128100,2
20191,1123000632,01,1652900,111571,128100,2
20191,1123000634,00,706368,70637,77700,1
20191,1123000634,01,706368,70637,77700,1
20191,1123000638,00,895541,57315,66270,1
20191,1123000638,01,895541,57315,66270,1
20191,1123000642,00,1332326,99588,112911,2
20191,1123000642,01,1332326,99588,112911,2
20191,1123000644,00,227672,34151,36428,1
20191,1123000644,01,227672,34151,36428,1
20191,1123000646,00,550967,33058,38568,1
20191,1123000646,02,550967,33058,38568,1
20191,1123000649,00,270701,14889,17596,1
20191,1123000649,01,270701,14889,17596,1
20191,1123000654,00,312699,30368,33495,2
20191,1123000654,01,429325,37208,41501,1
20191,1123000654,02,196074,23529,25490,1
20191,1123000659,00,250743,24824,27331,1
20191,1123000659,02,250743,24824,27331,1
