STDR_YYQU_CD,SUD_CD,TOT_WRC_POPLTN_CO,ML_WRC_POPLTN_CO,FML_WRC_POPLTN_CO,AGRDE_10_WRC_POPLTN_CO,AGRDE_20_WRC_POPLTN_CO,AGRDE_30_WRC_POPLTN_CO,AGRDE_40_WRC_POPLTN_CO,AGRDE_50_WRC_POPLTN_CO,AGRDE_60_ABOVE_WRC_POPLTN_CO,MAG_10_WRC_POPLTN_CO,MAG_20_WRC_POPLTN_CO,MAG_30_WRC_POPLTN_CO,MAG_40_WRC_POPLTN_CO,MAG_50_WRC_POPLTN_CO,MAG_60_ABOVE_WRC_POPLTN_CO,FAG_10_WRC_POPLTN_CO,FAG_20_WRC_POPLTN_CO,FAG_30_WRC_POPLTN_CO,FAG_40_WRC_POPLTN_CO,FAG_50_WRC_POPLTN_CO,FAG_60_ABOVE_WRC_POPLTN_CO,RELM_AR
20191,1123000065,4,2,2,0,1,1,0,2,0,0,1,0,0,1,0,0,0,1,0,1,0,4205.67546331
20191,1123000068,2,2,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2571.36398479
20191,1123000070,63,37,26,0,9,11,6,26,11,0,4,8,2,17,6,0,5,3,4,9,5,2763.54923467
20191,1123000073,5,2,3,0,0,2,1,1,1,0,0,1,0,1,0,0,0,1,1,0,1,1189.67253633
20191,1123000074,10,6,4,0,0,1,0,8,1,0,0,1,0,4,1,0,0,0,0,4,0,5678.60586915
20191,1123000076,6,4,2,0,1,1,2,1,1,0,0,1,2,1,0,0,1,0,0,0,1,1888.01799067
20191,1123000078,29,4,25,0,2,0,5,12,10,0,1,0,1,1,1,0,1,0,4,11,9,3277.52519153
20191,1123000080,36,22,14,0,6,10,8,5,7,0,2,5,6,4,5,0,4,5,2,1,2,4204.1555437
20191,1123000081,5,1,4,0,1,1,3,0,0,0,0,1,0,0,0,0,1,0,3,0,0,1220.34719234
20191,1123000082,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2151.5571199
20191,1123000083,3,2,1,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1809.5775613
20191,1123000086,6,4,2,0,0,2,4,0,0,0,0,1,3,0,0,0,0,1,1,0,0,6094.20213656
20191,1123000087,42,30,12,0,2,6,10,14,10,0,1,4,7,9,9,0,1,2,3,5,1,6170.24214404
20191,1123000090,2,2,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,2664.30643038
20191,1123000092,6,1,5,0,0,3,0,2,1,0,0,0,0,0,1,0,0,3,0,2,0,4232.65078485
20191,1123000095,48,34,14,0,0,11,12,15,10,0,0,5,8,13,8,0,0,6,4,2,2,6888.55564025
20191,1123000097,30,22,8,0,0,13,6,6,5,0,0,10,4,5,3,0,0,3,2,1,2,4633.78450037
20191,1123000101,8,3,5,0,1,0,1,3,3,0,1,0,0,1,1,0,0,0,1,2,2,3102.44110675
20191,1123000105,21,10,11,0,3,6,2,4,6,0,0,1,0,3,6,0,3,5,2,1,0,2777.66947488
20191,1123000109,5,0,5,0,2,2,0,0,1,0,0,0,0,0,0,0,2,2,0,0,1,3009.09852719
20191,1123000110,23,7,16,0,6,7,4,6,0,0,2,2,1,2,0,0,4,5,3,4,0,5124.86166655
20191,1123000114,13,9,4,0,0,1,3,5,4,0,0,1,3,2,3,0,0,0,0,3,1,6074.90438176
20191,1123000118,11,8,3,0,1,3,5,1,1,0,1,3,3,1,0,0,0,0,2,0,1,3624.99097869
20191,1123000121,6,4,2,0,0,2,1,0,3,0,0,1,1,0,2,0,0,1,0,0,1,3406.21207151
20191,1123000125,44,34,10,0,4,8,13,12,7,0,4,8,6,10,6,0,0,0,7,2,1,6931.85762841
20191,1123000126,35,14,21,0,12,11,5,5,2,0,0,6,4,2,2,0,12,5,1,3,0,3836.44843671
20191,1123000130,3,3,0,0,0,0,1,0,2,0,0,0,1,0,2,0,0,0,0,0,0,973.490472689
20191,1123000133,42,21,21,0,6,9,11,9,7,0,1,3,7,5,5,0,5,6,4,4,2,2259.47066943
20191,1123000134,11,9,2,1,2,1,1,5,1,0,2,1,1,4,1,1,0,0,0,1,0,3499.19733522
20191,1123000136,3,2,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1596.34807451
20191,1123000137,52,37,15,0,4,8,7,23,10,0,1,5,6,16,9,0,3,3,1,7,1,2979.24347907
20191,1123000139,85,26,59,0,18,31,17,12,7,0,2,12,7,3,2,0,16,19,10,9,5,4302.86450034
20191,1123000140,4,2,2,0,0,2,0,1,1,0,0,2,0,0,0,0,0,0,0,1,1,1886.32514799
20191,1123000142,22,7,15,0,7,7,3,2,3,0,0,5,1,0,1,0,7,2,2,2,2,5931.98452651
20191,1123000148,146,86,60,1,19,43,41,28,14,0,12,28,21,14,11,1,7,15,20,14,3,4354.43292439
20191,1123000150,12,5,7,0,1,0,5,6,0,0,0,0,1,4,0,0,1,0,4,2,0,1426.36206052
20191,1123000151,8,7,1,0,3,0,2,3,0,0,3,0,1,3,0,0,0,0,1,0,0,3625.53155849
20191,1123000152,10,6,4,0,0,3,5,1,1,0,0,2,3,1,0,0,0,1,2,0,1,756.800191063
20191,1123000154,6,4,2,0,0,1,2,1,2,0,0,1,1,0,2,0,0,0,1,1,0,3247.75553952
20191,1123000155,3,1,2,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1572.87510452
20191,1123000156,6,2,4,0,0,0,3,3,0,0,0,0,0,2,0,0,0,0,3,1,0,1074.72571878
20191,1123000157,4,3,1,0,1,1,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,1060.95407005
20191,1123000160,20,8,12,0,3,6,5,4,2,0,1,2,2,2,1,0,2,4,3,2,1,4134.06663485
20191,1123000161,87,22,65,0,13,21,31,17,5,0,1,8,7,3,3,0,12,13,24,14,2,4211.32107547
20191,1123000162,30,24,6,0,1,4,7,7,11,0,0,4,3,6,11,0,1,0,4,1,0,3010.23207377
20191,1123000164,2,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4059.74948627
20191,1123000166,3,2,1,0,0,0,1,2,0,0,0,0,0,2,0,0,0,0,1,0,0,1667.50738827
20191,1123000167,24,9,15,0,1,2,5,12,4,0,0,0,0,6,3,0,1,2,5,6,1,4511.13210114
20191,1123000168,68,14,54,0,11,16,20,18,3,0,2,3,1,5,3,0,9,13,19,13,0,9387.61218208
20191,1123000171,14,13,1,0,0,0,3,4,7,0,0,0,2,4,7,0,0,0,1,0,0,6299.9018049
20191,1123000172,60,51,9,0,8,10,19,15,8,0,6,8,18,11,8,0,2,2,1,4,0,4813.26234244
20191,1123000177,4,1,3,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,2,1,4299.09718081
20191,1123000180,2,2,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2999.47522755
20191,1123000183,181,114,67,0,27,44,65,25,20,0,13,34,39,15,13,0,14,10,26,10,7,7375.44148827
