STDR_YM_CD,SUD_CD,VIATR_FCLTY_CO,PBLOFC_CO,BANK_CO,GEHSPT_CO,GNRL_HSPTL_CO,PARMACY_CO,KNDRGR_CO,ELESCH_CO,MSKUL_CO,HGSCHL_CO,UNIV_CO,DRTS_CO,SUPMK_CO,THEAT_CO,STAYNG_FCLTY_CO,ARPRT_CO,RLROAD_STATN_CO,BUS_TRMINL_CO,SUBWAY_STATN_CO,BUS_STTN_CO
202012,1123000369,2,,,,,,,,,,,,,,,,,,,
202012,1123000374,1,,,,,,,,,,,,,,,,,,,1
202012,1123000377,1,,,,,,,,,,,,,,,,,,,1
202012,1123000380,1,,,,,,,,,,,,,,,,,,,
202012,1123000388,2,,,,,,,,,,,,,,,,,,,
202012,1123000394,5,,,,,1,,,,,,,,,,,,,,1
202012,1123000395,1,,,,,,1,,,,,,,,,,,,,
202012,1123000398,1,,,,,,,,,,,,,,,,,,,
202012,1123000400,3,,,,,1,,,,,,,,,,,,,,
202012,1123000409,1,,,,,,,,,,,,,,,,,,,1
202012,1123000411,2,,,,,1,,,,,,,,,,,,,,
202012,1123000420,1,,,,,,,,,,,,,,,,,,,1
202012,1123000422,1,,,,,,,,,,,,,,,,,,,
202012,1123000425,1,,,,,,,,,,,,,,,,,,,
202012,1123000432,1,,1,,,,,,,,,,,,,,,,,
202012,1123000437,1,1,,,,,,,,,,,,,,,,,,
202012,1123000460,2,1,,,,,,,,,,,,,,,,,,
202012,1123000470,2,,,,,,,,,,,,,,,,,,,
202012,1123000474,1,,,,,,,,,,,,,,,,,,,
202012,1123000489,1,,,,,,,,,,,,,,,,,,,
202012,1123000497,1,,,,,,,,,,,,,,,,,,,1
202012,1123000498,1,,,,,,,,,,,,,,,,,,,1
202012,1123000500,3,,,,,1,,,,,,,,,,,,,,
202012,1123000502,1,,,,,,,,,,,,,,,,,,,
202012,1123000509,2,1,,,,,,,,,,,1,,,,,,,
202012,1123000512,1,,,,,,,,,,,,,,,,,,,
202012,1123000518,1,,1,,,,,,,,,,,,,,,,,
202012,1123000520,1,,,,,,,,,,,,,,,,,,,
202012,1123000524,2,,,,,1,,,,,,,,,,,,,,
202012,1123000526,1,,,,,,,,,,,,,,,,,,,
202012,1123000528,1,,,,,,,,,,,,,,,,,,,1
202012,1123000533,1,1,,,,,,,,,,,,,,,,,,
202012,1123000541,1,,,,,,,,,,,,,,,,,,,1
202012,1123000542,4,,,,,,,,,,,,,,,,,,1,2
202012,1123000543,2,,,,,,,,,,,,,,,,,,,
202012,1123000548,1,,,,,,,,,,,,,,,,,,,1
202012,1123000551,1,,,,,,,,,,,,,,,,,,,
202012,1123000553,1,,,,,,,,,,,,,,,,,,,
202012,1123000556,2,,,,,,,,,,,,,,,,,,,1
202012,1123000557,1,,,,,,,,,,,,,,,,,,,
202012,1123000560,1,,,,,,,,,,,,,,,,,,,
202012,1123000565,1,,,,,,,,,,,,,,,,,,,
202012,1123000566,1,,,,,,,,,,,,,,,,,,,1
202012,1123000571,4,,,,,,,,,,,,,,1,,,,,
202012,1123000581,1,,,,,,,,,,,,,,,,,,,
202012,1123000583,2,,,,,,,,,,,,,,,,,,,
202012,1123000588,4,1,1,,,,,,,,,,,,,,,,,
202012,1123000589,5,,,,1,1,,,,,,,,,,,,,,1
202012,1123000590,5,,,,,1,,,,,,,,,,,,,,1
202012,1123000595,1,,,,,1,,,,,,,,,,,,,,
202012,1123000604,1,,,,,,,,,,,,,,,,,,,
202012,1123000605,1,,,,,,,,,,,,,,,,,,,1
202012,1123000607,1,,,,,,,,,,,,,,,,,,,
202012,1123000608,1,,,,,,,,,,,,,,,,,,,
202012,1123000616,1,,,1,,,,,,,,,,,,,,,,
202012,1123000622,6,1,1,,,,,,,,,,,,,,,,,
202012,1123000626,3,,,,,,,,,,,,,,,,,,3,
202012,1123000627,1,,,,,,,,,,,,,,,,,,,
202012,1123000628,1,,,,,1,,,,,,,,,,,,,,
202012,1123000630,2,,,,,,,,,,,,,,1,,,,,
